1,1,0.0164,0.0019
1,2,0.0131,0.0024
1,3,0.0197,0.0033
1,4,0.0199,0.0065
1,5,0.0189,0.0085
1,6,0.0151,0.0111
1,7,0.0195,0.0197
1,8,0.0146,0.0195
2,1,0.0485,0.0084
2,2,0.0328,0.0085
2,3,0.0358,0.0105
2,4,0.019,0.0138
2,5,0.0225,0.0217
2,6,0.0239,0.0263
2,7,0.0343,0.0344
2,8,0.0184,0.0188
4,1,0.0216,0.0017
4,2,0.0144,0.004
4,3,0.0207,0.0045
4,4,0.0221,0.0051
4,5,0.0239,0.0111
4,6,0.0229,0.0126
4,7,0.0342,0.0212
4,8,0.0229,0.0277
5,1,0.0299,0.0043
5,2,0.0181,0.0045
5,3,0.0214,0.0048
5,4,0.0189,0.0092
5,5,0.0167,0.0139
5,6,0.0099,0.0099
5,7,0.0125,0.0145
5,8,0.0221,0.0215
6,1,0.0203,0.0034
6,2,0.0135,0.004
6,3,0.0239,0.0042
6,4,0.0204,0.0042
6,5,0.0259,0.0093
6,6,0.0191,0.0149
6,7,0.0223,0.0173
6,8,0.0255,0.0198
8,1,0.0363,0.0072
8,2,0.0152,0.0023
8,3,0.0169,0.0076
8,4,0.0159,0.0089
8,5,0.0149,0.0156
8,6,0.0266,0.0144
8,7,0.0236,0.0181
8,8,0.0194,0.015
9,1,0.0439,0.0015
9,2,0.0209,0.0065
9,3,0.0236,0.0087
9,4,0.017,0.0107
9,5,0.0172,0.016
9,6,0.0247,0.0216
9,7,0.0293,0.0152
9,8,0.0374,0.0078
10,1,0.0263,0.0042
10,2,0.0167,0.0034
10,3,0.0278,0.0059
10,4,0.0213,0.0074
10,5,0.0165,0.0067
10,6,0.0162,0.0109
10,7,0.0167,0.0198
10,8,0.0203,0.0315
11,1,NaN,NaN
11,2,NaN,NaN
11,3,NaN,NaN
11,4,NaN,NaN
11,5,NaN,NaN
11,6,NaN,NaN
11,7,NaN,NaN
11,8,NaN,NaN
12,1,0.033,0.0025
12,2,0.0194,0.0027
12,3,0.0173,0.0043
12,4,0.0138,0.0102
12,5,0.0151,0.0186
12,6,0.0207,0.0191
12,7,0.0196,0.0167
12,8,0.019,0.0137
13,1,0.0192,0.0008
13,2,0.0191,0.003
13,3,0.0238,0.0046
13,4,0.0165,0.006
13,5,0.0125,0.0119
13,6,0.0101,0.0173
13,7,0.0157,0.0203
13,8,0.0087,0.0124
15,1,0,0
15,2,0.0447,0.0114
15,3,0.0147,0.0026
15,4,0.0257,0.0076
15,5,0.0213,0.0137
15,6,0.0166,0.0164
15,7,0.0406,0.0309
15,8,0.0181,0.0259
16,1,0.0197,0.0032
16,2,0.0145,0.0034
16,3,0.0136,0.0028
16,4,0.0155,0.0053
16,5,0.0261,0.0095
16,6,0.02,0.0158
16,7,0.0226,0.0212
16,8,0.0202,0.019
17,1,0.025,0.0058
17,2,0.0107,0.003
17,3,0.0151,0.004
17,4,0.0207,0.0068
17,5,0.0267,0.0064
17,6,0.0247,0.0092
17,7,0.0223,0.0153
17,8,0.0234,0.0226
18,1,0.0303,0.0048
18,2,0.0173,0.0051
18,3,0.0199,0.0046
18,4,0.0129,0.0047
18,5,0.0142,0.0097
18,6,0.0248,0.0187
18,7,0.0212,0.0263
18,8,0.0159,0.0191
19,1,0.0323,0.003
19,2,0.0119,0.0023
19,3,0.0095,0.0075
19,4,0.0118,0.0092
19,5,0.0241,0.0097
19,6,0.0302,0.0076
19,7,0.0289,0.01
19,8,0.0299,0.015
20,1,0.0266,0.0043
20,2,0.0118,0.0017
20,3,0.0157,0.0048
20,4,0.014,0.0068
20,5,0.0174,0.0105
20,6,0.0182,0.0106
20,7,0.0244,0.0179
20,8,0.0229,0.0178
21,1,0.0325,0.0017
21,2,0.0163,0.0018
21,3,0.0177,0.0062
21,4,0.0168,0.0085
21,5,0.0184,0.0157
21,6,0.0141,0.0121
21,7,0.0207,0.0199
21,8,0.0286,0.0181
22,1,0.0321,0.0046
22,2,0.0197,0.0036
22,3,0.0178,0.0029
22,4,0.015,0.0138
22,5,0.0118,0.0159
22,6,0.0184,0.0151
22,7,0.0165,0.0152
22,8,0.0254,0.0166
23,1,0.0384,0.0039
23,2,0.0115,0.0051
23,3,0.0162,0.0095
23,4,0.0194,0.0089
23,5,0.02,0.0096
23,6,0.0243,0.012
23,7,0.0255,0.0213
23,8,0.0126,0.0089
24,1,0.0273,0.0021
24,2,0.013,0.0025
24,3,0.0185,0.0047
24,4,0.0179,0.0075
24,5,0.0165,0.0132
24,6,0.0167,0.0139
24,7,0.0221,0.0221
24,8,0.0271,0.0222
25,1,0.0297,0.0036
25,2,0.0148,0.0031
25,3,0.0144,0.0054
25,4,0.0161,0.0074
25,5,0.0288,0.0106
25,6,0.0286,0.0134
25,7,0.0336,0.0186
25,8,0.0302,0.0226
26,1,0.0287,0.0032
26,2,0.0177,0.0049
26,3,0.0196,0.0063
26,4,0.0177,0.0086
26,5,0.0162,0.0169
26,6,0.0158,0.0147
26,7,0.0186,0.0195
26,8,0.0221,0.0151
27,1,0.0286,0.0018
27,2,0.0092,0.0064
27,3,0.0182,0.0073
27,4,0.0255,0.0079
27,5,0.0205,0.0079
27,6,0.0215,0.0143
27,7,0.0227,0.0235
27,8,0.0322,0.0198
28,1,0.0217,0.0019
28,2,0.0203,0.002
28,3,0.019,0.0026
28,4,0.0139,0.0028
28,5,0.0212,0.0172
28,6,0.0107,0.0137
28,7,0.0162,0.0133
28,8,0.0271,0.0263
29,1,0.0237,0.0036
29,2,0.0097,0.006
29,3,0.0146,0.0044
29,4,0.0153,0.0043
29,5,0.0222,0.0083
29,6,0.0199,0.0157
29,7,0.0204,0.0204
29,8,0.0283,0.0181
30,1,0.0366,0.0064
30,2,0.0106,0.0029
30,3,0.0164,0.0077
30,4,0.0178,0.0101
30,5,0.0208,0.0101
30,6,0.0254,0.0126
30,7,0.0346,0.0233
30,8,0.0236,0.0219
31,1,0.0373,0.0054
31,2,0.0117,0.003
31,3,0.0114,0.0083
31,4,0.0128,0.0104
31,5,0.0161,0.011
31,6,0.0176,0.0117
31,7,0.0387,0.0216
31,8,0.0264,0.0204
32,1,0.0202,0.0028
32,2,0.0109,0.0035
32,3,0.0233,0.0023
32,4,0.0249,0.0062
32,5,0.0179,0.0104
32,6,0.0153,0.0131
32,7,0.0248,0.0248
32,8,0.0196,0.0199
33,1,0.0396,0
33,2,0.0121,0.0076
33,3,0.0135,0.0084
33,4,0.0143,0.0111
33,5,0.0167,0.012
33,6,0.0193,0.0121
33,7,0.0331,0.0143
33,8,0.0329,0.0101
34,1,0.0266,0.003
34,2,0.0163,0.0026
34,3,0.0199,0.0043
34,4,0.0164,0.0065
34,5,0.0234,0.0151
34,6,0.0216,0.0173
34,7,0.0175,0.0188
34,8,0.0329,0.0187
35,1,0.035,0.0059
35,2,0.0236,0.007
35,3,0.0274,0.007
35,4,0.021,0.0122
35,5,0.019,0.0164
35,6,0.0202,0.0202
35,7,0.0521,0.0325
35,8,0.0287,0.0226
36,1,NaN,NaN
36,2,NaN,NaN
36,3,NaN,NaN
36,4,NaN,NaN
36,5,NaN,NaN
36,6,NaN,NaN
36,7,NaN,NaN
36,8,NaN,NaN
37,1,0.0222,0.0034
37,2,0.0165,0.003
37,3,0.0308,0.0051
37,4,0.014,0.0063
37,5,0.0166,0.0137
37,6,0.018,0.0201
37,7,0.0177,0.023
37,8,0.0276,0.0154
38,1,0.0463,0.0084
38,2,0.018,0.0046
38,3,0.0147,0.0109
38,4,0.0186,0.0139
38,5,0.0217,0.0156
38,6,0.0174,0.0128
38,7,0.0379,0.0239
38,8,0.0329,0.0225
39,1,0.029,0
39,2,0.01,0.0026
39,3,0.0195,0.0065
39,4,0.0193,0.0095
39,5,0.017,0.0113
39,6,0.0201,0.0141
39,7,0.0192,0.0226
39,8,0.023,0.0192
40,1,0.0404,0.0056
40,2,0.018,0.0032
40,3,0.0196,0.0045
40,4,0.0185,0.0118
40,5,0.0178,0.0185
40,6,0.0088,0.0093
40,7,0.0374,0.0293
40,8,0.0279,0.026
41,1,0.0284,0.0017
41,2,0.0173,0.004
41,3,0.022,0.007
41,4,0.0199,0.0111
41,5,0.0154,0.0123
41,6,0.0146,0.0137
41,7,0.02,0.0226
41,8,0.0235,0.0197
42,1,0.0276,0.0014
42,2,0.0121,0.0061
42,3,0.0146,0.0049
42,4,0.0206,0.0077
42,5,0.0201,0.0091
42,6,0.0205,0.0113
42,7,0.0224,0.0154
42,8,0.0246,0.0181
44,1,0.0359,0.0052
44,2,0.0093,0.0053
44,3,0.0129,0.007
44,4,0.0136,0.0088
44,5,0.013,0.0097
44,6,0.0174,0.0128
44,7,0.0485,0.0145
44,8,0.0452,0.0155
45,1,0.0187,0.0024
45,2,0.0151,0.0043
45,3,0.025,0.004
45,4,0.0196,0.0068
45,5,0.0163,0.0085
45,6,0.0147,0.0132
45,7,0.0239,0.0176
45,8,0.0168,0.0215
46,1,0.0506,0.009
46,2,0.011,0.0032
46,3,0.0143,0.0155
46,4,0.0165,0.0106
46,5,0.0182,0.0112
46,6,0.021,0.0122
46,7,0.0576,0.0317
46,8,0.0299,0.0204
47,1,0.035,0.0035
47,2,0.0109,0.0055
47,3,0.0106,0.009
47,4,0.0135,0.0119
47,5,0.0171,0.0093
47,6,0.0141,0.0075
47,7,0.0163,0.0123
47,8,0.0254,0.0156
48,1,0.0316,0.004
48,2,0.0145,0.0031
48,3,0.0136,0.0058
48,4,0.0155,0.0085
48,5,0.0195,0.0117
48,6,0.0112,0.0103
48,7,0.0125,0.0141
48,8,0.0234,0.0205
49,1,0.0324,0.0019
49,2,0.0195,0.0035
49,3,0.0108,0.004
49,4,0.0179,0.014
49,5,0.0152,0.0096
49,6,0.0049,0.0063
49,7,0.0173,0.0133
49,8,0.014,0.0088
50,1,0.0426,0
50,2,0.0155,0.0105
50,3,0.0162,0.0094
50,4,0.0158,0.0135
50,5,0.0173,0.0142
50,6,0.0202,0.0139
50,7,0.0303,0.0172
50,8,0.0255,0.0191
51,1,0.0226,0
51,2,0.0149,0.0047
51,3,0.0273,0.0058
51,4,0.0259,0.0067
51,5,0.02,0.0118
51,6,0.0154,0.0174
51,7,0.018,0.0223
51,8,0.0265,0.0244
53,1,0.0246,0.003
53,2,0.0157,0.0043
53,3,0.0212,0.0047
53,4,0.0223,0.0074
53,5,0.0209,0.0108
53,6,0.0153,0.0128
53,7,0.0192,0.0207
53,8,0.0235,0.0261
54,1,0.0553,0
54,2,0.0206,0.0176
54,3,0.0211,0.0108
54,4,0.0134,0.0154
54,5,0.0159,0.0201
54,6,0.0159,0.0191
54,7,0.0253,0.0204
54,8,0.0198,0.0181
55,1,0.0233,0.0019
55,2,0.0119,0.0036
55,3,0.0167,0.0044
55,4,0.0268,0.0047
55,5,0.0312,0.0157
55,6,0.021,0.0154
55,7,0.0218,0.0248
55,8,0.023,0.0251
56,1,0.0299,0.0044
56,2,0.0147,0.0016
56,3,0.021,0.0034
56,4,0.0197,0.0087
56,5,0.0204,0.0133
56,6,0.0239,0.0206
56,7,0.0333,0.0289
56,8,0.0178,0.0194
